topic_id,topic_name,paper_count,query_time
13396,Agriculture and Rural Development Research,303045,2025-08-23T03:16:52.640302
10017,Geology and Paleoclimatology Research,282094,2025-08-23T03:16:49.791659
13085,"Education, Psychology, and Social Research",253198,2025-08-23T03:16:51.774713
12618,Botany and Plant Ecology Studies,241840,2025-08-23T03:16:51.773720
11405,Geophysics and Gravity Measurements,228977,2025-08-23T03:16:50.662845
10487,Plant and animal studies,221982,2025-08-23T03:16:49.792655
11546,Plant Physiology and Cultivation Studies,191052,2025-08-23T03:16:50.662845
10302,Fish Ecology and Management Studies,165985,2025-08-23T03:16:49.791659
10406,Planetary Science and Exploration,152280,2025-08-23T03:16:49.791659
11796,Horticultural and Viticultural Research,147659,2025-08-23T03:16:50.662845
13939,Archaeology and Natural History,146372,2025-08-23T03:16:52.641298
13760,"Finance, Taxation, and Governance",144883,2025-08-23T03:16:52.641298
10809,Occupational Health and Safety Research,138064,2025-08-23T03:16:49.792655
10330,Hydrology and Watershed Management Studies,134907,2025-08-23T03:16:49.791659
11537,Ethics in medical practice,132875,2025-08-23T03:16:50.662845
12641,Historical and socio-economic studies of Spain and related regions,130804,2025-08-23T03:16:51.773720
10230,Marine and fisheries research,130373,2025-08-23T03:16:49.791659
10121,Building Energy and Comfort Optimization,119195,2025-08-23T03:16:49.791659
10029,Climate variability and models,115777,2025-08-23T03:16:49.791659
10075,Atmospheric chemistry and aerosols,115546,2025-08-23T03:16:49.791659
10644,Cryospheric studies and observations,113711,2025-08-23T03:16:49.792655
10089,Avian ecology and behavior,112108,2025-08-23T03:16:49.791659
10004,Soil Carbon and Nitrogen Dynamics,104598,2025-08-23T03:16:49.791659
11880,Forest ecology and management,100975,2025-08-23T03:16:50.662845
13743,Italian Literature and Culture,100971,2025-08-23T03:16:52.641298
10471,Climate Change Policy and Economics,100655,2025-08-23T03:16:49.792655
10969,Water resources management and optimization,99147,2025-08-23T03:16:50.662845
12639,Global Energy and Sustainability Research,98300,2025-08-23T03:16:51.773720
10895,Species Distribution and Climate Change,96759,2025-08-23T03:16:49.792655
13508,Agricultural Economics and Practices,94623,2025-08-23T03:16:52.640302
11320,Atmospheric Ozone and Climate,92696,2025-08-23T03:16:50.662845
10032,Marine and coastal ecosystems,92030,2025-08-23T03:16:49.791659
10255,Oceanographic and Atmospheric Processes,88678,2025-08-23T03:16:49.791659
14010,Food Industry and Aquatic Biology,87350,2025-08-23T03:16:52.642293
10747,Disaster Management and Resilience,83652,2025-08-23T03:16:49.792655
12667,Economic and Technological Developments in Russia,83174,2025-08-23T03:16:51.773720
13186,Russia and Soviet political economy,82038,2025-08-23T03:16:51.774713
10555,Fire effects on ecosystems,81807,2025-08-23T03:16:49.792655
10109,Paleontology and Stratigraphy of Fossils,81801,2025-08-23T03:16:49.791659
12467,Rangeland Management and Livestock Ecology,81011,2025-08-23T03:16:51.773720
14009,Ecology and Conservation Studies,80396,2025-08-23T03:16:52.641298
14018,Agriculture and Biological Studies,79795,2025-08-23T03:16:52.642293
11913,Animal Ecology and Behavior Studies,78587,2025-08-23T03:16:50.662845
12432,Arctic and Russian Policy Studies,78468,2025-08-23T03:16:51.773720
13838,Plant and soil sciences,78268,2025-08-23T03:16:52.641298
10659,Marine animal studies overview,77364,2025-08-23T03:16:49.792655
10236,Aquatic Ecosystems and Phytoplankton Dynamics,77362,2025-08-23T03:16:49.791659
12614,Indigenous Studies and Ecology,77063,2025-08-23T03:16:51.773720
10647,Coastal and Marine Dynamics,76978,2025-08-23T03:16:49.792655
10930,Flood Risk Assessment and Management,76302,2025-08-23T03:16:50.662845
11753,Forest Management and Policy,76256,2025-08-23T03:16:50.662845
10877,Allergic Rhinitis and Sensitization,75851,2025-08-23T03:16:49.792655
12129,Global Energy Security and Policy,75733,2025-08-23T03:16:50.662845
10266,Plant Water Relations and Carbon Dynamics,74701,2025-08-23T03:16:49.791659
13870,Environmental and Ecological Studies,73802,2025-08-23T03:16:52.641298
10332,Amphibian and Reptile Biology,73535,2025-08-23T03:16:49.791659
14157,Environmental and Agricultural Sciences,72191,2025-08-23T03:16:53.532310
11691,Forest Insect Ecology and Management,72030,2025-08-23T03:16:50.662845
10643,Marine and coastal plant biology,71309,2025-08-23T03:16:49.792655
10347,Atmospheric aerosols and clouds,70868,2025-08-23T03:16:49.791659
10520,Mycotoxins in Agriculture and Food,69096,2025-08-23T03:16:49.792655
