topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,keywords,summary,wikipedia_url
10004,Soil Carbon and Nitrogen Dynamics,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Carbon Sequestration; Nitrogen Cycle; Microbial Communities; Climate Change; Biochar Application; Ecosystem Functioning; Soil Fertility; Organic Matter Dynamics; Nutrient Limitation; Global Biogeochemical Cycles,"This cluster of papers explores the dynamics of soil carbon, nitrogen cycling, and microbial communities in various ecosystems. It investigates topics such as soil carbon sequestration, biochar application, nutrient limitation, and the impact of climate change on soil fertility and ecosystem functioning. The research also delves into the interactions between soil microbial communities and plant diversity, with a focus on understanding global biogeochemical cycles.",https://en.wikipedia.org/wiki/Soil_carbon_dynamics
10017,Geology and Paleoclimatology Research,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,Climate Change; Paleoclimatology; Glacial Cycles; Holocene; Sea Level; Monsoon Dynamics; Greenhouse Warming; Ice Core Records; Solar Influence; Atmospheric CO2,"This cluster of papers encompasses research on climate change and paleoclimatology, including topics such as glacial cycles, Holocene climate variability, sea level fluctuations, monsoon dynamics, greenhouse warming, ice core records, solar influence on climate, and atmospheric CO2 concentrations over various timescales.",https://en.wikipedia.org/wiki/Paleoclimatology
10029,Climate variability and models,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,Climate Change; Global Warming; Extreme Events; Climate Modeling; Precipitation Extremes; Ocean Circulation; ENSO Variability; Arctic Amplification; Hydrological Cycle; Greenhouse Gas Emissions,"This cluster of papers encompasses a wide range of research on climate change, global warming, and variability, including studies on extreme events, climate modeling, precipitation extremes, ocean circulation, ENSO variability, Arctic amplification, and the hydrological cycle. It also addresses the impact of greenhouse gas emissions and the challenge of keeping global warming below 2°C.",https://en.wikipedia.org/wiki/Climate_change
10032,Marine and coastal ecosystems,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,Dissolved Organic Matter; Eutrophication; Harmful Algal Blooms; Oceanic Carbon Cycle; Phytoplankton; Global Warming; Nutrient Limitation; Biological Productivity; Oceanic Oxygen Levels; Climate Change,"This cluster of papers focuses on the complex interactions between marine biogeochemistry, ecosystem dynamics, and environmental factors such as eutrophication, harmful algal blooms, and climate change. It explores the role of dissolved organic matter, nutrient limitation, and phytoplankton in the oceanic carbon cycle and highlights the impact of global warming on biological productivity and oxygen levels in the oceans.",https://en.wikipedia.org/wiki/Marine_biogeochemistry
10075,Atmospheric chemistry and aerosols,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,Atmospheric Aerosols; Black Carbon; Organic Aerosol; Air Quality; Climate Forcing; Aerosol Formation; Emission Modeling; Chemical Composition; Haze Pollution; Tropospheric Chemistry,"This cluster of papers focuses on the characteristics, sources, impacts, and modeling of atmospheric aerosols, including black carbon and organic aerosols. It explores their role in air quality, climate forcing, haze pollution, and tropospheric chemistry.",https://en.wikipedia.org/wiki/Atmospheric_aerosol
10089,Avian ecology and behavior,2303,Ecology,23,Environmental Science,3,Physical Sciences,Avian Ecology; Climate Change; Migration Patterns; Population Declines; Phenological Changes; Habitat Selection; Model Selection; Multimodel Inference; Agricultural Intensification; Conservation Actions,"This cluster of papers focuses on the ecological impacts of climate change on avian populations, including migration patterns, population declines, phenological changes, and habitat selection. It also discusses model selection and multimodel inference in the context of avian ecology, as well as the effects of agricultural intensification and conservation actions on bird populations.",https://en.wikipedia.org/wiki/Effects_of_climate_change_on_birds
10109,Paleontology and Stratigraphy of Fossils,1911,Paleontology,19,Earth and Planetary Sciences,3,Physical Sciences,Paleoredox; Paleoproductivity; Trace Metals; Oceanic Anoxic Events; Atmospheric Oxygenation; Biogeochemical Cycling; Isotope Geochemistry; Marine Sediments; Phanerozoic Climate; Mass Extinctions,"This cluster of papers focuses on the use of trace metals, isotopes, and biogeochemical indicators to reconstruct paleoredox conditions and paleoproductivity in ancient oceans. It explores topics such as oceanic anoxic events, atmospheric oxygenation, biogeochemical cycling, and their implications for Phanerozoic climate and mass extinctions.",https://en.wikipedia.org/wiki/Paleoredox
10111,Remote Sensing in Agriculture,2303,Ecology,23,Environmental Science,3,Physical Sciences,Remote Sensing; Vegetation Monitoring; Phenology; MODIS; Landsat; NDVI; Global Change; Climate; Biomass Estimation; Machine Learning,"This cluster of papers focuses on the use of remote sensing technology, particularly MODIS and Landsat data, for monitoring vegetation dynamics, phenology, and biomass estimation in response to global change and climate variability. The papers also explore the application of machine learning techniques for land cover classification and the assessment of ecological responses to environmental change.",https://en.wikipedia.org/wiki/Remote_sensing
10119,Sustainability and Climate Change Governance,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,Sustainability Transitions; Resilience; Social-Ecological Systems; Adaptive Governance; Climate Change Adaptation; Renewable Energy; Policy Mixes; Scenario Planning; Transition Management; Socio-Technical Perspective,"This cluster of papers explores sustainability transitions and resilience in social-ecological systems, focusing on topics such as adaptive governance, climate change adaptation, renewable energy, policy mixes, scenario planning, and transition management. It emphasizes the socio-technical perspective and the need for transformative change to address global environmental challenges.",https://en.wikipedia.org/wiki/Sustainability_transitions
10121,Building Energy and Comfort Optimization,2215,Building and Construction,22,Engineering,3,Physical Sciences,Building Energy Consumption; Thermal Comfort; Energy Simulation; Model Predictive Control; Sustainable Buildings; Occupant Behavior; Climate Change Impact; Artificial Neural Networks; Energy Efficiency; Building Performance,"This cluster of papers focuses on building energy efficiency, thermal comfort optimization, and the impact of occupant behavior and climate change on energy consumption. It covers topics such as energy simulation, model predictive control, sustainable buildings, occupant behavior modeling, and the use of artificial neural networks for predicting building energy consumption.",https://en.wikipedia.org/wiki/Building_energy_efficiency
